S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2020],Popula&ccedil;&atilde;o estimada - pessoas [2020],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2017],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2018]
Carapicu&iacute;ba,3510609,carapicuibano,MARCO AURELIO DOS SANTOS NEVES,34.546,403183,10698.32,96.2,749,10.77,44.190.733.186,41.606.726.676,14413.33
Cardoso,3510708,cardosense,JAIR CESAR NATTES,639.248,12349,18.45,96.8,722,14.29,4.630.823.775,4.032.040.495,20770.49
Casa Branca,3510807,casa-branquense,MARCO C&Eacute;SAR DE PAIVA AGA,864.225,30520,32.76,96.9,730,6.33,9.751.896.221,9.269.325.741,27488.44
C&aacute;ssia dos Coqueiros,3510906,cassiano,EUR&Iacute;PEDES JORGE DA ROCHA FILHO,191.683,2505,13.74,99.5,734,47.62,1.589.876.893,129.997.879,58581.94
Castilho,3511003,castilhense,PAULO DUARTE BOAVENTURA,1.065.318,21267,16.89,99.1,731,24.39,8.705.428.444,7.716.998.419,41708.15
Catanduva,3511102,catanduvense,OSVALDO DE OLIVEIRA ROSA,290.596,122497,388.24,98.1,785,8.14,46.137.242.056,40.370.092.796,34611.18
Catigu&aacute;,3511201,catig&uuml;ense,CLAUDEMIR JOSE GRAVA,148.393,7855,48.03,98.4,751,10.75,2.126.627.659,1.943.758.657,15079.11
Cedral,3511300,cedralense,PAULO RICARDO BEOLCHI DE LUCAS,197.838,9346,40.33,98.7,766,19.61,3.776.392.539,3.096.082.651,34238.37
Cerqueira C&eacute;sar,3511409,cerqueirense,DIEGO AUGUSTO BERTI CINTO,511.621,20191,34.27,98.2,729,4.10,7.597.489.702,642.727.041,30605.21
Cerquilho,3511508,cerquilhense,ALDOMIR JOS&Eacute; SANSON,127.803,49802,309.98,99.6,782,5.96,16.544.981.452,13.870.953.714,38133.41
Ces&aacute;rio Lange,3511607,cesariano-lange,RONALDO PAIS DE CAMARGO,190.392,18375,81.46,96.3,706,21.28,567.928.307,5.341.386.635,24128.03
Charqueada,3511706,charqueadense,RODRIGO DE ARRUDA,175.846,17367,85.79,97.9,736,19.42,4.456.550.282,3.858.850.552,20806.95
Clementina,3511904,clementinense,NELSON CASULA,168.590,8757,41.85,98,725,8.55,2.883.928.053,2.523.684.461,25945.35
Colina,3512001,colinense,DIAB TAHA,422.303,18535,41.11,98.4,757,8.10,8.067.211.148,6.947.246.161,60218.14
Col&ocirc;mbia,3512100,colombiense,JULIO CESAR DOS SANTOS,728.648,6216,8.22,99.2,710,11.76,4.393.522.451,3.861.876.712,53207.43
Conchal,3512209,conchalense,LUIZ VANDERLEI MAGNUSSON,182.793,28273,138.02,96.7,708,12.20,10.096.050.997,8.641.317.651,24884.49
Conchas,3512308,conchense,JULIO TOMAZELA NETO,466.120,18019,34.95,97.6,736,9.62,5.472.410.202,5.064.558.986,19830.73
