genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Calidris,canutus,0.02798,0.0255,2,1,0.0127
Calidris,fuscicollis,0.02798,0.0255,1,1,0.0191
Calidris,melanotos,0.126,0.012,1,0,NaN
Calidris,sp.,0.02798,0.0255,1,1,0.0382
Callapa,circularis,23.030,15.970,3,0,NaN
Callapilia,brooksi,23.030,15.970,1,0,NaN
Callawayasaurus,colombiensis,125.450,122.460,2,2,1.0000
Callinectes,declivis,23.030,15.970,1,0,NaN
Callinectes,ferreirai,23.030,15.970,2,0,NaN
Callinectes,paraensis,23.030,15.970,2,0,NaN
Callinectes,pirabensis,23.030,15.970,3,0,NaN
Callinectes,reticulares,23.030,15.970,1,0,NaN
Callinectes,reticulatus,23.030,15.970,3,0,NaN
Callinectes,sp.,23.030,15.970,1,0,NaN
Calliostoma,cirrus,23.030,15.970,3,0,NaN
Calliostoma,decampose,23.030,15.970,3,0,NaN
Calliostoma,derbyi,23.030,15.970,3,0,NaN
Calliostoma,pirabicum,23.030,15.970,3,0,NaN
Calliostoma,retectum,23.030,15.970,3,0,NaN
Callista,abscurata,23.030,15.970,1,0,NaN
Callista,mergrathiana,23.030,15.970,1,0,NaN
Callistoe,sp.,37.200,33.900,1,1,0.0250
Callistoe,vincei,48.600,37.200,1,1,0.2222
Callorhynchus,callorhynchus,7.246,5.332,1,0,NaN
Calocyclas,hispida,37.200,33.900,1,0,NaN
Calocyclas,turris,37.200,33.900,1,0,NaN
Calocycloma,ampulla,37.200,33.900,1,0,NaN
Calomys,hummelinki,0.02798,0.0255,1,0,NaN
Calomys,lancha,2.588,0.781,1,0,NaN
Calomys,sp.,0.0276,0.01758,3,0,NaN
Calyptocephalella,sp.,29.000,21.000,1,0,NaN
Calyptraea,centralis,23.030,15.970,1,0,NaN
Calyptraea,nidulifera,23.030,15.970,1,0,NaN
Camargomendesia,pristina,58.700,48.600,1,1,0.6512
Campanorco,inauguralis,48.600,37.200,1,1,1.0000
Campanorco,sp.,48.600,37.200,1,1,0.0714
Canaanimico,amazonensis,28.400,23.030,1,0,NaN
Canaanimys,maquiensis,37.200,33.900,3,0,NaN
Canaanimys,sp.,48.600,37.200,1,0,NaN
Cancellaria,calypso,23.030,15.970,3,0,NaN
Cancellaria,euclethra,23.030,15.970,1,0,NaN
Cancellaria,hartti,23.030,15.970,1,0,NaN
Cancellaria,hatti,23.030,15.970,2,0,NaN
Cancellaria,pirabensis,23.030,15.970,1,0,NaN
Cancellaria,praeindentata,23.030,15.970,1,0,NaN
Cancellaria,subtilicancellata,23.030,15.970,1,0,NaN
Candelaria,barbouri,242.000,235.000,2,2,0.5000
Candelariodon,barberenai,242.000,235.000,1,1,1.0000
Candona,candida,136.400,125.450,1,0,NaN
Candonopsis,sp.,70.600,66.043,1,1,0.3137
Canis,dirus,2.588,0.0255,2,0,NaN
Canis,gymnocercus,2.588,0.012,2,0,NaN
Canis,proplatensis,2.588,0.781,1,0,NaN
Canis,sp.,0.01962,0.015,2,0,NaN
Caprimulgus,sp.,0.02798,0.0255,1,1,0.0191
Captorhinus,aguti,279.500,272.500,1,0,NaN
Capulus,sp.,55.800,48.600,1,0,NaN
Carabites,harringtoni,66.043,55.800,1,1,0.5000
Caracara,cheriway,0.02798,0.0255,1,1,0.0127
Caraguatypotherium,munozi,11.4,10.7,4,0,NaN
Carbonemys,cofrinii,61.700,58.700,1,0,NaN
Carcharhinus,ackermani,23.030,15.970,1,0,NaN
Carcharhinus,ackermanii,23.030,15.970,3,0,NaN
Carcharhinus,ackermanni,23.030,15.970,2,0,NaN
Carcharhinus,albimarginatus,11.608,3.600,1,0,NaN
Carcharhinus,brachyurus,20.430,7.246,4,0,NaN
Carcharhinus,egertoni,23.030,5.332,5,0,NaN
Carcharhinus,falciformis,19.27,17.21,1,0,NaN
Carcharhinus,leucas,20.430,15.970,1,0,NaN
Carcharhinus,macloti,11.608,7.246,1,0,NaN
Carcharhinus,obscurus,13.650,1.806,2,0,NaN
Carcharhinus,porosus,13.650,7.246,1,0,NaN
Carcharhinus,priscus,23.030,5.332,3,0,NaN
Carcharhinus,priscusi,23.030,15.970,1,0,NaN
Carcharhinus,sp.,23.030,0.781,14,0,NaN
Carcharias,sp.,20.430,2.588,2,0,NaN
Carcharias,taurus,11.608,0.781,3,0,NaN
Carcharinus,sp.,11.608,7.246,1,0,NaN
Carcharodontosaurus,sp.,105.300,94.300,1,1,0.1111
