collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,10_my_bin
13626,Fossilworks,"J. Alroy",,Platemys,"n. sp.",robusta,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Platemys,"n. sp.",torrentium,,,,,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Chironectes,,sp.,,Chironectes,,minimus,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Morenia,,sp.,,Castor,,sp.,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Scalabrinitherium,,paranense,,Palaeotherium,,paranense,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Proterotherium,,americanum,,Anoplotherium,,americanum,6134,"Cenozoic 6"
13626,Fossilworks,"J. Alroy",,Caiman,,australis,,Crocodilus,"n. sp.",australis,6134,"Cenozoic 6"
13630,Fossilworks,"J. Alroy",,Aotus,"n. sp.",dindensis,,,,,29405,"Cenozoic 5"
13630,Fossilworks,"J. Alroy",cf.,Nuciruptor,,sp.,,,,,29405,"Cenozoic 5"
13650,Fossilworks,"J. Alroy","n. gen.",Nanoastegotherium,"n. sp.",prostatum,,,,,6139,"Cenozoic 5"
13650,Fossilworks,"J. Alroy",,Neonematherium,,flabellatum,,,,,6139,"Cenozoic 5"
13651,Fossilworks,"J. Alroy",,Proeuphractus,,limpidus,,,,,6186,
13653,Fossilworks,"J. Alroy",,Nanoastegotherium,,prostatum,,,,,6139,"Cenozoic 5"
13653,Fossilworks,"J. Alroy",,Pericotoxodon,,platignathus,,,,,6139,"Cenozoic 5"
13678,Fossilworks,"J. Alroy","n. gen.",Anadasypus,"n. sp.",hondanus,,,,,6139,"Cenozoic 5"
13678,Fossilworks,"J. Alroy",,Pseudoprepotherium,,confusum,,,,,6139,"Cenozoic 5"
13680,Fossilworks,"J. Alroy",,Anadasypus,,hondanus,,,,,6139,"Cenozoic 5"
13680,Fossilworks,"J. Alroy",,Pseudoprepotherium,,confusum,,,,,6139,"Cenozoic 5"
13680,Fossilworks,"J. Alroy",,Rhodanodolichotis,,sp.,,,,,6139,"Cenozoic 5"
13681,Fossilworks,"J. Alroy",,Anadasypus,,hondanus,,,,,6139,"Cenozoic 5"
13682,Fossilworks,"J. Alroy",,Anadasypus,,hondanus,,,,,6139,"Cenozoic 5"
13682,Fossilworks,"J. Alroy",,Dracaena,,colombiana,,Paradracaena,,colombiana,6139,"Cenozoic 5"
